ID,RegioS,BevolkingOp1Januari_1
2139,GM1680,25390
2176,GM0738,13153
2213,GM0358,31499
2250,GM0197,26962
2435,GM0059,27935
2583,GM0482,20014
2620,GM0613,25218
2694,GM0361,108470
2731,GM0141,72629
2768,GM0034,203990
2805,GM0484,109682
2879,GM1723,10083
3027,GM0060,3654
3101,GM0307,155226
3175,GM0362,89870
3212,GM0363,854047
3397,GM0200,161156
3434,GM0003,11801
3545,GM0202,157223
3582,GM0106,67708
3619,GM0743,16719
3730,GM0744,6799
3767,GM0308,24630
3915,GM0489,48477
3952,GM0203,57339
4063,GM0005,10475
4137,GM0888,15895
4248,GM0370,9550
4359,GM0889,13444
4655,GM1945,34748
4729,GM1724,18398
4766,GM0893,13106
4803,GM0373,29941
4840,GM0748,66354
5099,GM1859,44032
5173,GM1721,30550
5247,GM0753,29497
5284,GM0209,25798
5321,GM0375,41077
5432,GM0310,42846
5469,GM0585,29098
5506,GM1728,20144
5580,GM0376,10795
5654,GM0377,23208
5765,GM1901,33948
5802,GM0755,10502
5839,GM0009,7292
5987,GM1681,25351
6061,GM0147,23124
6098,GM0654,22716
6172,GM0756,28853
6209,GM0757,30672
6283,GM0758,183448
6394,GM0501,17040
6505,GM1876,36352
6616,GM0213,20771
6653,GM0899,28241
6727,GM0312,15214
6764,GM0313,21266
6801,GM0214,26365
6912,GM0502,66854
6949,GM0383,35608
7023,GM0109,35299
7097,GM1706,20336
7134,GM0611,12826
7171,GM1684,24911
7245,GM0216,28195
7319,GM0148,28242
7393,GM1891,18904
7430,GM0503,102253
7467,GM0010,24863
7541,GM0762,32137
7578,GM0150,99653
7652,GM0384,28121
7874,GM1774,26291
8059,GM0221,11328
8096,GM0222,57382
8170,GM0766,25777
8207,GM0058,23789
8281,GM0505,118426
8318,GM0498,19440
8429,GM1719,27063
8466,GM0303,40735
8540,GM0225,18701
8614,GM0226,25438
8836,GM1711,31751
8873,GM0385,35953
8910,GM0228,114682
8984,GM0317,9112
9058,GM1651,15553
9132,GM0770,18778
9280,GM1903,25566
9317,GM0772,229126
9354,GM0230,23107
9428,GM0114,107192
9465,GM0388,18476
9502,GM0153,158261
9539,GM0232,32863
9576,GM0233,26793
9687,GM0777,43532
9798,GM1722,8671
9983,GM1940,51742
10094,GM0779,21517
10168,GM0236,26818
10242,GM1771,39252
10353,GM1652,30340
10501,GM0907,17052
10538,GM0689,14551
10612,GM0784,26313
10686,GM1924,49129
10723,GM0664,37636
10760,GM0785,23621
10797,GM1942,57337
10871,GM0512,36284
10945,GM0513,72700
11130,GM0786,12419
11241,GM0518,532561
11463,GM0014,202810
11500,GM0015,12143
11611,GM1729,14196
11648,GM0158,24291
11685,GM0788,14103
11722,GM0392,159709
11759,GM0393,5867
11796,GM0394,147282
11870,GM1655,29888
12018,GM0160,60539
12055,GM0243,46832
12092,GM0523,17958
12129,GM0017,19860
12203,GM0072,15783
12314,GM0244,12154
12536,GM0396,39146
12573,GM0397,27080
12610,GM0246,18603
12647,GM0074,50192
12721,GM0398,55850
12795,GM0917,86762
12943,GM1658,15886
13017,GM0399,23099
13128,GM0400,55760
13165,GM0163,35796
13202,GM0530,39992
13239,GM0794,90903
13313,GM0531,30677
13387,GM0164,80593
13461,GM0796,153434
13535,GM0252,16462
13572,GM0797,43723
13646,GM0534,21812
13683,GM0798,15366
13720,GM0402,89521
13868,GM1735,34930
13942,GM1911,47681
14164,GM0118,55677
14238,GM0405,72806
14349,GM1507,42271
14386,GM0321,49579
14497,GM0406,41369
14534,GM0677,27472
14719,GM0353,34302
14867,GM1884,26625
14941,GM0166,53259
15015,GM0678,12720
15052,GM0537,64956
15126,GM0928,45823
15385,GM1598,22659
15422,GM0079,12827
15459,GM0588,11097
15570,GM0542,29306
15607,GM1931,55644
15644,GM1659,22158
15718,GM1685,15332
15755,GM0882,37612
15792,GM0415,11435
15866,GM0416,27836
15903,GM1621,61155
15940,GM0417,11146
15977,GM0022,19669
16088,GM0545,21030
16162,GM0080,122415
16236,GM0546,124306
16273,GM0547,27197
16347,GM1916,74947
16421,GM0995,77389
16495,GM1640,35857
16532,GM0327,29755
16865,GM0733,11134
16902,GM1705,46372
17013,GM0553,22746
17124,GM0262,33574
17198,GM0809,23120
17272,GM0331,14395
17309,GM0024,9732
17346,GM0168,22547
17679,GM0263,24350
17716,GM1641,23697
17827,GM0556,32518
17864,GM0935,122723
18123,GM1663,10058
18160,GM0025,10488
18234,GM0420,44480
18345,GM0938,19039
18419,GM1948,80148
18641,GM0119,33410
18678,GM0687,48303
18789,GM1842,19338
18826,GM1731,33172
18863,GM1952,60953
19085,GM0815,10831
19159,GM1709,36967
19344,GM1927,29295
19455,GM1955,35627
19492,GM0335,13879
19566,GM0944,7768
19788,GM1740,23615
19899,GM0946,17038
20010,GM0304,12397
20121,GM0356,62426
20269,GM0569,28269
20602,GM0267,42307
20639,GM0268,175948
20676,GM1930,84593
20787,GM1695,7314
20824,GM1699,32370
20898,GM0171,46625
20935,GM0575,26056
20972,GM0576,16605
21083,GM0820,23019
21157,GM0302,27114
21194,GM0951,15201
21342,GM0579,23887
21416,GM0823,18558
21453,GM0824,26132
21490,GM1895,38075
21527,GM0269,23504
21638,GM0173,31915
21712,GM1773,18023
21749,GM0175,17630
21786,GM0881,7857
21823,GM1586,29672
22008,GM0826,55147
22082,GM0085,25459
22119,GM0431,9735
22267,GM0432,11526
22304,GM0086,29753
22341,GM0828,90951
22452,GM0584,24301
22489,GM1509,39520
22600,GM0437,13496
22674,GM0589,10180
22711,GM1734,47481
22748,GM0590,32264
22785,GM1894,43312
22859,GM0765,12245
22933,GM1926,53634
23081,GM0439,79983
23155,GM0273,24313
23192,GM0177,37158
23377,GM0703,22555
23414,GM0274,31338
23451,GM0339,5175
23525,GM1667,13040
23562,GM0275,43527
23599,GM0340,19816
23636,GM0597,45789
23969,GM1742,38097
24006,GM0603,52208
24080,GM1669,20728
24117,GM0957,57761
24265,GM0736,43620
24302,GM1674,77000
24450,GM0599,638712
24524,GM0277,1575
24561,GM0840,22401
24783,GM0441,46379
24931,GM0279,9751
24968,GM0606,77907
25005,GM0088,932
25079,GM0962,12911
25264,GM1676,33687
25338,GM0965,10561
25375,GM1702,11577
25560,GM0845,28673
25671,GM1883,92956
25782,GM0610,25020
25856,GM1714,23526
25967,GM0090,55889
26115,GM0342,46089
26152,GM0847,19120
26189,GM0848,16753
26374,GM0037,32258
26448,GM0180,16797
26485,GM0532,21670
26559,GM0851,24781
26670,GM1708,43768
26707,GM0971,24987
26781,GM1904,64513
26855,GM0617,8793
26892,GM1900,89594
27114,GM0715,54440
27151,GM0093,4906
27225,GM0448,13584
27262,GM1525,36584
27299,GM0716,25583
27373,GM0281,41465
27447,GM0855,215521
27484,GM0183,21213
27521,GM1700,33903
27558,GM1730,33462
27595,GM0737,31870
27669,GM0856,41725
27743,GM0450,13520
27780,GM0451,29445
27854,GM0184,20524
27928,GM0344,347483
27965,GM1581,49314
28002,GM0981,9874
28113,GM0994,16431
28187,GM0858,30654
28224,GM0047,27508
28261,GM0345,64918
28298,GM0717,21867
28372,GM0861,44925
28409,GM0453,67831
28483,GM0983,101192
28520,GM0984,43341
28594,GM0620,19967
28742,GM0622,72050
28890,GM0096,1132
28964,GM0718,44485
29075,GM0986,12390
29223,GM0626,25453
29260,GM0285,24310
29408,GM0865,26418
29445,GM1949,46101
29482,GM0866,17075
29519,GM0867,47725
29556,GM0627,27578
29593,GM0289,38412
29852,GM0629,26084
29926,GM0852,17259
30000,GM0988,49855
30037,GM0457,19147
