ID,Gemeentecode,BevolkingOp1Januari_1,Gemeentenaam
2139,GM1680,25390,Aa en Hunze
2176,GM0738,13153,Aalburg
2213,GM0358,31499,Aalsmeer
2250,GM0197,26962,Aalten
2435,GM0059,27935,Achtkarspelen
2583,GM0482,20014,Alblasserdam
2620,GM0613,25218,Albrandswaard
2694,GM0361,108470,Alkmaar
2731,GM0141,72629,Almelo
2768,GM0034,203990,Almere
2805,GM0484,109682,Alphen aan den Rijn
2879,GM1723,10083,Alphen-Chaam
3027,GM0060,3654,Ameland
3101,GM0307,155226,Amersfoort
3175,GM0362,89870,Amstelveen
3212,GM0363,854047,Amsterdam
3397,GM0200,161156,Apeldoorn
3434,GM0003,11801,Appingedam
3545,GM0202,157223,Arnhem
3582,GM0106,67708,Assen
3619,GM0743,16719,Asten
3730,GM0744,6799,Baarle-Nassau
3767,GM0308,24630,Baarn
3915,GM0489,48477,Barendrecht
3952,GM0203,57339,Barneveld
4063,GM0005,10475,Bedum
4137,GM0888,15895,Beek
4248,GM0370,9550,Beemster
4359,GM0889,13444,Beesel
4655,GM1945,34748,Berg en Dal
4729,GM1724,18398,Bergeijk
4766,GM0893,13106,Bergen (L.)
4803,GM0373,29941,Bergen (NH.)
4840,GM0748,66354,Bergen op Zoom
5099,GM1859,44032,Berkelland
5173,GM1721,30550,Bernheze
5247,GM0753,29497,Best
5284,GM0209,25798,Beuningen
5321,GM0375,41077,Beverwijk
5432,GM0310,42846,De Bilt
5469,GM0585,29098,Binnenmaas
5506,GM1728,20144,Bladel
5580,GM0376,10795,Blaricum
5654,GM0377,23208,Bloemendaal
5765,GM1901,33948,Bodegraven-Reeuwijk
5802,GM0755,10502,Boekel
5839,GM0009,7292,Ten Boer
5987,GM1681,25351,Borger-Odoorn
6061,GM0147,23124,Borne
6098,GM0654,22716,Borsele
6172,GM0756,28853,Boxmeer
6209,GM0757,30672,Boxtel
6283,GM0758,183448,Breda
6394,GM0501,17040,Brielle
6505,GM1876,36352,Bronckhorst
6616,GM0213,20771,Brummen
6653,GM0899,28241,Brunssum
6727,GM0312,15214,Bunnik
6764,GM0313,21266,Bunschoten
6801,GM0214,26365,Buren
6912,GM0502,66854,Capelle aan den IJssel
6949,GM0383,35608,Castricum
7023,GM0109,35299,Coevorden
7097,GM1706,20336,Cranendonck
7134,GM0611,12826,Cromstrijen
7171,GM1684,24911,Cuijk
7245,GM0216,28195,Culemborg
7319,GM0148,28242,Dalfsen
7393,GM1891,18904,Dantumadiel
7430,GM0503,102253,Delft
7467,GM0010,24863,Delfzijl
7541,GM0762,32137,Deurne
7578,GM0150,99653,Deventer
7652,GM0384,28121,Diemen
7874,GM1774,26291,Dinkelland
8059,GM0221,11328,Doesburg
8096,GM0222,57382,Doetinchem
8170,GM0766,25777,Dongen
8207,GM0058,23789,Dongeradeel
8281,GM0505,118426,Dordrecht
8318,GM0498,19440,Drechterland
8429,GM1719,27063,Drimmelen
8466,GM0303,40735,Dronten
8540,GM0225,18701,Druten
8614,GM0226,25438,Duiven
8836,GM1711,31751,Echt-Susteren
8873,GM0385,35953,Edam-Volendam
8910,GM0228,114682,Ede
8984,GM0317,9112,Eemnes
9058,GM1651,15553,Eemsmond
9132,GM0770,18778,Eersel
9280,GM1903,25566,Eijsden-Margraten
9317,GM0772,229126,Eindhoven
9354,GM0230,23107,Elburg
9428,GM0114,107192,Emmen
9465,GM0388,18476,Enkhuizen
9502,GM0153,158261,Enschede
9539,GM0232,32863,Epe
9576,GM0233,26793,Ermelo
9687,GM0777,43532,Etten-Leur
9798,GM1722,8671,Ferwerderadiel
9983,GM1940,51742,De Fryske Marren
10094,GM0779,21517,Geertruidenberg
10168,GM0236,26818,Geldermalsen
10242,GM1771,39252,Geldrop-Mierlo
10353,GM1652,30340,Gemert-Bakel
10501,GM0907,17052,Gennep
10538,GM0689,14551,Giessenlanden
10612,GM0784,26313,Gilze en Rijen
10686,GM1924,49129,Goeree-Overflakkee
10723,GM0664,37636,Goes
10760,GM0785,23621,Goirle
10797,GM1942,57337,Gooise Meren
10871,GM0512,36284,Gorinchem
10945,GM0513,72700,Gouda
11130,GM0786,12419,Grave
11241,GM0518,532561,'s-Gravenhage
11463,GM0014,202810,Groningen
11500,GM0015,12143,Grootegast
11611,GM1729,14196,Gulpen-Wittem
11648,GM0158,24291,Haaksbergen
11685,GM0788,14103,Haaren
11722,GM0392,159709,Haarlem
11759,GM0393,5867,Haarlemmerliede en Spaarnwoude
11796,GM0394,147282,Haarlemmermeer
11870,GM1655,29888,Halderberge
12018,GM0160,60539,Hardenberg
12055,GM0243,46832,Harderwijk
12092,GM0523,17958,Hardinxveld-Giessendam
12129,GM0017,19860,Haren
12203,GM0072,15783,Harlingen
12314,GM0244,12154,Hattem
12536,GM0396,39146,Heemskerk
12573,GM0397,27080,Heemstede
12610,GM0246,18603,Heerde
12647,GM0074,50192,Heerenveen
12721,GM0398,55850,Heerhugowaard
12795,GM0917,86762,Heerlen
12943,GM1658,15886,Heeze-Leende
13017,GM0399,23099,Heiloo
13128,GM0400,55760,Den Helder
13165,GM0163,35796,Hellendoorn
13202,GM0530,39992,Hellevoetsluis
13239,GM0794,90903,Helmond
13313,GM0531,30677,Hendrik-Ido-Ambacht
13387,GM0164,80593,Hengelo
13461,GM0796,153434,'s-Hertogenbosch
13535,GM0252,16462,Heumen
13572,GM0797,43723,Heusden
13646,GM0534,21812,Hillegom
13683,GM0798,15366,Hilvarenbeek
13720,GM0402,89521,Hilversum
13868,GM1735,34930,Hof van Twente
13942,GM1911,47681,Hollands Kroon
14164,GM0118,55677,Hoogeveen
14238,GM0405,72806,Hoorn
14349,GM1507,42271,Horst aan de Maas
14386,GM0321,49579,Houten
14497,GM0406,41369,Huizen
14534,GM0677,27472,Hulst
14719,GM0353,34302,IJsselstein
14867,GM1884,26625,Kaag en Braassem
14941,GM0166,53259,Kampen
15015,GM0678,12720,Kapelle
15052,GM0537,64956,Katwijk
15126,GM0928,45823,Kerkrade
15385,GM1598,22659,Koggenland
15422,GM0079,12827,Kollumerland en Nieuwkruisland
15459,GM0588,11097,Korendijk
15570,GM0542,29306,Krimpen aan den IJssel
15607,GM1931,55644,Krimpenerwaard
15644,GM1659,22158,Laarbeek
15718,GM1685,15332,Landerd
15755,GM0882,37612,Landgraaf
15792,GM0415,11435,Landsmeer
15866,GM0416,27836,Langedijk
15903,GM1621,61155,Lansingerland
15940,GM0417,11146,Laren
15977,GM0022,19669,Leek
16088,GM0545,21030,Leerdam
16162,GM0080,122415,Leeuwarden
16236,GM0546,124306,Leiden
16273,GM0547,27197,Leiderdorp
16347,GM1916,74947,Leidschendam-Voorburg
16421,GM0995,77389,Lelystad
16495,GM1640,35857,Leudal
16532,GM0327,29755,Leusden
16865,GM0733,11134,Lingewaal
16902,GM1705,46372,Lingewaard
17013,GM0553,22746,Lisse
17124,GM0262,33574,Lochem
17198,GM0809,23120,Loon op Zand
17272,GM0331,14395,Lopik
17309,GM0024,9732,Loppersum
17346,GM0168,22547,Losser
17679,GM0263,24350,Maasdriel
17716,GM1641,23697,Maasgouw
17827,GM0556,32518,Maassluis
17864,GM0935,122723,Maastricht
18123,GM1663,10058,De Marne
18160,GM0025,10488,Marum
18234,GM0420,44480,Medemblik
18345,GM0938,19039,Meerssen
18419,GM1948,80148,Meierijstad
18641,GM0119,33410,Meppel
18678,GM0687,48303,Middelburg
18789,GM1842,19338,Midden-Delfland
18826,GM1731,33172,Midden-Drenthe
18863,GM1952,60953,Midden-Groningen
19085,GM0815,10831,Mill en Sint Hubert
19159,GM1709,36967,Moerdijk
19344,GM1927,29295,Molenwaard
19455,GM1955,35627,Montferland
19492,GM0335,13879,Montfoort
19566,GM0944,7768,Mook en Middelaar
19788,GM1740,23615,Neder-Betuwe
19899,GM0946,17038,Nederweert
20010,GM0304,12397,Neerijnen
20121,GM0356,62426,Nieuwegein
20269,GM0569,28269,Nieuwkoop
20602,GM0267,42307,Nijkerk
20639,GM0268,175948,Nijmegen
20676,GM1930,84593,Nissewaard
20787,GM1695,7314,Noord-Beveland
20824,GM1699,32370,Noordenveld
20898,GM0171,46625,Noordoostpolder
20935,GM0575,26056,Noordwijk
20972,GM0576,16605,Noordwijkerhout
21083,GM0820,23019,"Nuenen, Gerwen en Nederwetten"
21157,GM0302,27114,Nunspeet
21194,GM0951,15201,Nuth
21342,GM0579,23887,Oegstgeest
21416,GM0823,18558,Oirschot
21453,GM0824,26132,Oisterwijk
21490,GM1895,38075,Oldambt
21527,GM0269,23504,Oldebroek
21638,GM0173,31915,Oldenzaal
21712,GM1773,18023,Olst-Wijhe
21749,GM0175,17630,Ommen
21786,GM0881,7857,Onderbanken
21823,GM1586,29672,Oost Gelre
22008,GM0826,55147,Oosterhout
22082,GM0085,25459,Ooststellingwerf
22119,GM0431,9735,Oostzaan
22267,GM0432,11526,Opmeer
22304,GM0086,29753,Opsterland
22341,GM0828,90951,Oss
22452,GM0584,24301,Oud-Beijerland
22489,GM1509,39520,Oude IJsselstreek
22600,GM0437,13496,Ouder-Amstel
22674,GM0589,10180,Oudewater
22711,GM1734,47481,Overbetuwe
22748,GM0590,32264,Papendrecht
22785,GM1894,43312,Peel en Maas
22859,GM0765,12245,Pekela
22933,GM1926,53634,Pijnacker-Nootdorp
23081,GM0439,79983,Purmerend
23155,GM0273,24313,Putten
23192,GM0177,37158,Raalte
23377,GM0703,22555,Reimerswaal
23414,GM0274,31338,Renkum
23451,GM0339,5175,Renswoude
23525,GM1667,13040,Reusel-De Mierden
23562,GM0275,43527,Rheden
23599,GM0340,19816,Rhenen
23636,GM0597,45789,Ridderkerk
23969,GM1742,38097,Rijssen-Holten
24006,GM0603,52208,Rijswijk
24080,GM1669,20728,Roerdalen
24117,GM0957,57761,Roermond
24265,GM0736,43620,De Ronde Venen
24302,GM1674,77000,Roosendaal
24450,GM0599,638712,Rotterdam
24524,GM0277,1575,Rozendaal
24561,GM0840,22401,Rucphen
24783,GM0441,46379,Schagen
24931,GM0279,9751,Scherpenzeel
24968,GM0606,77907,Schiedam
25005,GM0088,932,Schiermonnikoog
25079,GM0962,12911,Schinnen
25264,GM1676,33687,Schouwen-Duiveland
25338,GM0965,10561,Simpelveld
25375,GM1702,11577,Sint Anthonis
25560,GM0845,28673,Sint-Michielsgestel
