Version;Date_of_report;Date_of_statistics_week_start;Age_group;Hospital_admission_notification;Hospital_admission;IC_admission_notification;IC_admission
4;2024-02-14 00:30:00;2021-10-04;0-4;3;6;0;0
4;2024-02-14 00:30:00;2021-10-04;5-9;1;0;0;0
4;2024-02-14 00:30:00;2021-10-04;10-14;0;0;0;0
4;2024-02-14 00:30:00;2021-10-04;15-19;0;4;0;0
4;2024-02-14 00:30:00;2021-10-04;20-24;4;1;0;0
4;2024-02-14 00:30:00;2021-10-04;25-29;11;11;2;1
4;2024-02-14 00:30:00;2021-10-04;30-34;8;9;2;3
4;2024-02-14 00:30:00;2021-10-04;35-39;16;15;3;3
4;2024-02-14 00:30:00;2021-10-04;40-44;13;10;4;4
4;2024-02-14 00:30:00;2021-10-04;45-49;21;21;4;4
4;2024-02-14 00:30:00;2021-10-04;50-54;25;20;3;5
4;2024-02-14 00:30:00;2021-10-04;55-59;32;32;10;9
4;2024-02-14 00:30:00;2021-10-04;60-64;23;30;9;9
4;2024-02-14 00:30:00;2021-10-04;65-69;24;26;10;9
4;2024-02-14 00:30:00;2021-10-04;70-74;42;55;14;16
4;2024-02-14 00:30:00;2021-10-04;75-79;31;34;4;5
4;2024-02-14 00:30:00;2021-10-04;80-84;29;39;3;2
4;2024-02-14 00:30:00;2021-10-04;85-89;20;26;0;1
4;2024-02-14 00:30:00;2021-10-04;90+;7;9;0;0
4;2024-02-14 00:30:00;2021-10-04;Unknown;0;0;0;0
4;2024-02-14 00:30:00;2021-10-11;0-4;9;7;0;0
4;2024-02-14 00:30:00;2021-10-11;5-9;2;2;0;0
4;2024-02-14 00:30:00;2021-10-11;10-14;0;0;0;0
4;2024-02-14 00:30:00;2021-10-11;15-19;2;1;0;0
4;2024-02-14 00:30:00;2021-10-11;20-24;1;1;0;0
4;2024-02-14 00:30:00;2021-10-11;25-29;9;13;2;1
4;2024-02-14 00:30:00;2021-10-11;30-34;19;19;2;2
4;2024-02-14 00:30:00;2021-10-11;35-39;16;13;5;4
4;2024-02-14 00:30:00;2021-10-11;40-44;16;19;5;6
4;2024-02-14 00:30:00;2021-10-11;45-49;16;18;2;3
4;2024-02-14 00:30:00;2021-10-11;50-54;20;24;8;8
4;2024-02-14 00:30:00;2021-10-11;55-59;37;38;6;7
4;2024-02-14 00:30:00;2021-10-11;60-64;41;46;13;14
4;2024-02-14 00:30:00;2021-10-11;65-69;36;48;8;11
4;2024-02-14 00:30:00;2021-10-11;70-74;35;48;8;9
