ID;GemeentecodeGM;Perioden;TotaleBevolking_1
1676;GM1680;2018JJ00;25390
1705;GM0738;2018JJ00;13153
1734;GM0358;2018JJ00;31499
1763;GM0197;2018JJ00;26962
1792;GM0480;2018JJ00;
1821;GM0739;2018JJ00;
1850;GM0305;2018JJ00;
1879;GM0059;2018JJ00;27935
1908;GM0360;2018JJ00;
1937;GM0482;2018JJ00;20014
1966;GM0613;2018JJ00;25218
1995;GM0483;2018JJ00;
2024;GM0361;2018JJ00;108470
2053;GM0141;2018JJ00;72629
2082;GM0034;2018JJ00;203990
2111;GM0484;2018JJ00;109682
2140;GM0741;2018JJ00;
2169;GM1723;2018JJ00;10083
2198;GM1959;2018JJ00;
2227;GM0142;2018JJ00;
2256;GM1679;2018JJ00;
2285;GM0060;2018JJ00;3654
2314;GM0306;2018JJ00;
2343;GM0307;2018JJ00;155226
2372;GM0198;2018JJ00;
2401;GM0362;2018JJ00;89870
2430;GM0363;2018JJ00;854047
2459;GM0364;2018JJ00;
2488;GM0199;2018JJ00;
2517;GM0105;2018JJ00;
2546;GM0366;2018JJ00;
2575;GM0200;2018JJ00;161156
2604;GM0003;2018JJ00;11801
2633;GM0885;2018JJ00;
2662;GM0649;2018JJ00;
2691;GM0202;2018JJ00;157223
2720;GM0106;2018JJ00;67708
2749;GM0743;2018JJ00;16719
2778;GM0143;2018JJ00;
2807;GM0650;2018JJ00;
2836;GM0744;2018JJ00;6799
2865;GM0308;2018JJ00;24630
2894;GM0745;2018JJ00;
2923;GM0489;2018JJ00;48477
2952;GM0203;2018JJ00;57339
2981;GM0144;2018JJ00;
3010;GM0005;2018JJ00;10475
3039;GM0888;2018JJ00;15895
3068;GM0746;2018JJ00;
3097;GM1954;2018JJ00;
3126;GM0370;2018JJ00;9550
3155;GM0889;2018JJ00;13444
3184;GM0107;2018JJ00;
3213;GM0890;2018JJ00;
3242;GM0007;2018JJ00;
3271;GM0206;2018JJ00;
3300;GM0372;2018JJ00;
3329;GM1945;2018JJ00;34748
3358;GM0491;2018JJ00;
3387;GM1724;2018JJ00;18398
3416;GM0893;2018JJ00;13106
3445;GM0373;2018JJ00;29941
3474;GM0748;2018JJ00;66354
3503;GM0749;2018JJ00;
3532;GM0207;2018JJ00;
3561;GM0492;2018JJ00;
3590;GM0493;2018JJ00;
3619;GM0751;2018JJ00;
3648;GM1859;2018JJ00;44032
3677;GM0752;2018JJ00;
3706;GM1721;2018JJ00;30550
3735;GM0568;2018JJ00;
3764;GM0753;2018JJ00;29497
3793;GM0209;2018JJ00;25798
3822;GM0375;2018JJ00;41077
3851;GM0063;2018JJ00;
3880;GM0310;2018JJ00;42846
3909;GM0585;2018JJ00;29098
3938;GM1728;2018JJ00;20144
3967;GM0754;2018JJ00;
3996;GM0376;2018JJ00;10795
4025;GM0495;2018JJ00;
4054;GM0377;2018JJ00;23208
4083;GM0055;2018JJ00;
4112;GM0497;2018JJ00;
4141;GM1901;2018JJ00;33948
4170;GM0755;2018JJ00;10502
4199;GM0009;2018JJ00;7292
4228;GM0064;2018JJ00;
4257;GM0211;2018JJ00;
4286;GM0108;2018JJ00;
4315;GM1681;2018JJ00;25351
4344;GM0897;2018JJ00;
4373;GM0147;2018JJ00;23124
4402;GM0654;2018JJ00;22716
4431;GM0499;2018JJ00;
4460;GM0756;2018JJ00;28853
4489;GM0757;2018JJ00;30672
4518;GM0212;2018JJ00;
4547;GM0758;2018JJ00;183448
4576;GM0194;2018JJ00;
4605;GM0311;2018JJ00;
4634;GM0501;2018JJ00;17040
4663;GM0898;2018JJ00;
4692;GM1876;2018JJ00;36352
4721;GM0656;2018JJ00;
4750;GM0657;2018JJ00;
4779;GM0213;2018JJ00;20771
4808;GM0899;2018JJ00;28241
4837;GM0759;2018JJ00;
4866;GM0312;2018JJ00;15214
4895;GM0313;2018JJ00;21266
4924;GM0214;2018JJ00;26365
4953;GM0381;2018JJ00;
4982;GM0502;2018JJ00;66854
5011;GM0383;2018JJ00;35608
5040;GM0760;2018JJ00;
5069;GM0109;2018JJ00;35299
5098;GM0314;2018JJ00;
5127;GM1706;2018JJ00;20336
5156;GM0611;2018JJ00;12826
5185;GM1684;2018JJ00;24911
5214;GM0216;2018JJ00;28195
5243;GM0110;2018JJ00;
5272;GM0148;2018JJ00;28242
5301;GM0065;2018JJ00;
5330;GM1891;2018JJ00;18904
5359;GM0503;2018JJ00;102253
5388;GM0010;2018JJ00;24863
5417;GM0149;2018JJ00;
5446;GM0762;2018JJ00;32137
5475;GM0150;2018JJ00;99653
5504;GM0218;2018JJ00;
5533;GM0384;2018JJ00;28121
5562;GM0151;2018JJ00;
5591;GM0152;2018JJ00;
5620;GM0763;2018JJ00;
5649;GM0111;2018JJ00;
5678;GM1980;2018JJ00;
5707;GM1774;2018JJ00;26291
5736;GM0764;2018JJ00;
