;ï»¿ID;Gemeentecode;Perioden;TotaleBevolking_1;Gemeentenaam
0;1676;1680;2018JJ00;25390.0;Aa en Hunze
1;1705;738;2018JJ00;13153.0;Aalburg
2;1734;358;2018JJ00;31499.0;Aalsmeer
3;1763;197;2018JJ00;26962.0;Aalten
4;1879;59;2018JJ00;27935.0;Achtkarspelen
5;1937;482;2018JJ00;20014.0;Alblasserdam
6;1966;613;2018JJ00;25218.0;Albrandswaard
7;2024;361;2018JJ00;108470.0;Alkmaar
8;2053;141;2018JJ00;72629.0;Almelo
9;2082;34;2018JJ00;203990.0;Almere
10;2111;484;2018JJ00;109682.0;Alphen aan den Rijn
11;2169;1723;2018JJ00;10083.0;Alphen-Chaam
12;2285;60;2018JJ00;3654.0;Ameland
13;2343;307;2018JJ00;155226.0;Amersfoort
14;2401;362;2018JJ00;89870.0;Amstelveen
15;2430;363;2018JJ00;854047.0;Amsterdam
16;2575;200;2018JJ00;161156.0;Apeldoorn
17;2604;3;2018JJ00;11801.0;Appingedam
18;2691;202;2018JJ00;157223.0;Arnhem
19;2720;106;2018JJ00;67708.0;Assen
20;2749;743;2018JJ00;16719.0;Asten
21;2836;744;2018JJ00;6799.0;Baarle-Nassau
22;2865;308;2018JJ00;24630.0;Baarn
23;2923;489;2018JJ00;48477.0;Barendrecht
24;2952;203;2018JJ00;57339.0;Barneveld
25;3010;5;2018JJ00;10475.0;Bedum
26;3039;888;2018JJ00;15895.0;Beek
27;3126;370;2018JJ00;9550.0;Beemster
28;3155;889;2018JJ00;13444.0;Beesel
29;3329;1945;2018JJ00;34748.0;Berg en Dal
30;3387;1724;2018JJ00;18398.0;Bergeijk
31;3416;893;2018JJ00;13106.0;Bergen (L.)
32;3445;373;2018JJ00;29941.0;Bergen (NH.)
33;3474;748;2018JJ00;66354.0;Bergen op Zoom
34;3648;1859;2018JJ00;44032.0;Berkelland
35;3706;1721;2018JJ00;30550.0;Bernheze
36;3764;753;2018JJ00;29497.0;Best
37;3793;209;2018JJ00;25798.0;Beuningen
38;3822;375;2018JJ00;41077.0;Beverwijk
39;3880;310;2018JJ00;42846.0;De Bilt
40;3909;585;2018JJ00;29098.0;Binnenmaas
41;3938;1728;2018JJ00;20144.0;Bladel
42;3996;376;2018JJ00;10795.0;Blaricum
43;4054;377;2018JJ00;23208.0;Bloemendaal
44;4141;1901;2018JJ00;33948.0;Bodegraven-Reeuwijk
45;4170;755;2018JJ00;10502.0;Boekel
46;4199;9;2018JJ00;7292.0;Ten Boer
47;4315;1681;2018JJ00;25351.0;Borger-Odoorn
48;4373;147;2018JJ00;23124.0;Borne
49;4402;654;2018JJ00;22716.0;Borsele
50;4460;756;2018JJ00;28853.0;Boxmeer
51;4489;757;2018JJ00;30672.0;Boxtel
